model,domain,n,auroc,ci_lo,ci_hi,ci_w
DeepSeek V3.1,Applied,234,0.7558,0.677,0.8172,0.1402
DeepSeek V3.1,Factual,229,0.6903,0.5688,0.7944,0.2255
DeepSeek V3.1,Formal,228,0.7966,0.6971,0.8871,0.19
DeepSeek V3.1,Human.,230,0.7165,0.5956,0.832,0.2363
DeepSeek V3.1,Science,234,0.6265,0.5143,0.7395,0.2252
DeepSeek V3.1,Social,225,0.6363,0.5452,0.7248,0.1796
DeepSeek V3.2,Applied,228,0.7133,0.6199,0.8106,0.1907
DeepSeek V3.2,Factual,221,0.7693,0.6849,0.8442,0.1593
DeepSeek V3.2,Formal,231,0.7691,0.6076,0.8963,0.2887
DeepSeek V3.2,Human.,229,0.6982,0.5665,0.8153,0.2488
DeepSeek V3.2,Science,231,0.6965,0.5433,0.8236,0.2803
DeepSeek V3.2,Social,231,0.6688,0.5779,0.7541,0.1762
DeepSeek-R1,Applied,250,0.8431,0.7739,0.9016,0.1277
DeepSeek-R1,Factual,250,0.6824,0.5347,0.8223,0.2875
DeepSeek-R1,Formal,250,0.7454,0.5789,0.8673,0.2883
DeepSeek-R1,Human.,250,0.7847,0.6259,0.9216,0.2957
DeepSeek-R1,Science,250,0.6941,0.5415,0.8319,0.2904
DeepSeek-R1,Social,250,0.8141,0.7249,0.8931,0.1682
GLM-5,Applied,84,0.6016,0.2152,0.8915,0.6762
GLM-5,Factual,111,0.5758,0.355,0.7882,0.4332
GLM-5,Formal,102,0.6094,0.3861,1.0,0.6139
GLM-5,Human.,91,0.8182,0.7045,0.9627,0.2581
GLM-5,Science,110,0.5545,0.3889,0.8519,0.463
GLM-5,Social,100,0.7903,0.6449,0.9086,0.2636
GPT-5.4,Applied,250,0.8176,0.7382,0.885,0.1468
GPT-5.4,Factual,250,0.7775,0.6768,0.8826,0.2058
GPT-5.4,Formal,250,0.5392,0.4566,0.6239,0.1673
GPT-5.4,Human.,250,0.6404,0.387,0.8786,0.4917
GPT-5.4,Science,250,0.6494,0.5375,0.7619,0.2243
GPT-5.4,Social,250,0.7474,0.6358,0.8448,0.209
GPT-5.4 mini,Applied,227,0.7425,0.65,0.8248,0.1748
GPT-5.4 mini,Factual,216,0.7969,0.7148,0.8663,0.1516
GPT-5.4 mini,Formal,232,0.5722,0.4977,0.6543,0.1566
GPT-5.4 mini,Human.,230,0.7229,0.5972,0.8383,0.2412
GPT-5.4 mini,Science,223,0.7249,0.6355,0.8116,0.1761
GPT-5.4 mini,Social,228,0.6038,0.515,0.6908,0.1758
GPT-5.4 nano,Applied,250,0.6333,0.5598,0.7,0.1402
GPT-5.4 nano,Factual,250,0.7485,0.6778,0.8161,0.1383
GPT-5.4 nano,Formal,250,0.548,0.4754,0.6166,0.1412
GPT-5.4 nano,Human.,250,0.726,0.6498,0.7985,0.1487
GPT-5.4 nano,Science,250,0.6152,0.5424,0.69,0.1476
GPT-5.4 nano,Social,250,0.4858,0.4128,0.5556,0.1427
GPT-oss-120B,Applied,250,0.5486,0.4808,0.6128,0.132
GPT-oss-120B,Factual,250,0.521,0.4325,0.5945,0.162
GPT-oss-120B,Formal,250,0.6157,0.4679,0.7357,0.2677
GPT-oss-120B,Human.,250,0.5266,0.4179,0.6281,0.2102
GPT-oss-120B,Science,250,0.436,0.3257,0.5398,0.214
GPT-oss-120B,Social,250,0.5026,0.4153,0.5861,0.1708
GPT-oss-20B,Applied,250,0.7688,0.7082,0.8311,0.1229
GPT-oss-20B,Factual,250,0.7659,0.6762,0.8492,0.173
GPT-oss-20B,Formal,250,0.7579,0.5935,0.9014,0.3079
GPT-oss-20B,Human.,250,0.8031,0.6971,0.9035,0.2065
GPT-oss-20B,Science,250,0.7091,0.6012,0.8207,0.2196
GPT-oss-20B,Social,250,0.8274,0.7478,0.9001,0.1523
Gemini 2.0 FLite,Applied,250,0.6884,0.6274,0.7531,0.1257
Gemini 2.0 FLite,Factual,250,0.6916,0.5904,0.7907,0.2003
Gemini 2.0 FLite,Formal,250,0.6674,0.5967,0.7406,0.1438
