short,dom,n,errors,acc,auroc_recomp,auroc,ci_lo,ci_hi,ci_w
DeepSeek V3.1,Applied,234,44,0.811965811965812,0.7558014354066984,0.7558,0.677,0.8172,0.1402
DeepSeek V3.1,Factual,229,22,0.9039301310043668,0.6902722880983752,0.6903,0.5688,0.7944,0.2255
DeepSeek V3.1,Formal,228,24,0.8947368421052632,0.7965686274509804,0.7966,0.6971,0.8871,0.19
DeepSeek V3.1,Human.,230,20,0.9130434782608695,0.7165476190476191,0.7165,0.5956,0.832,0.2363
DeepSeek V3.1,Science,234,29,0.8760683760683761,0.6264928511354079,0.6265,0.5143,0.7395,0.2252
DeepSeek V3.1,Social,225,38,0.8311111111111111,0.6362932732901773,0.6363,0.5452,0.7248,0.1796
DeepSeek V3.2,Applied,228,31,0.8640350877192983,0.7132798428033404,0.7133,0.6199,0.8106,0.1907
DeepSeek V3.2,Factual,221,23,0.8959276018099548,0.7693236714975845,0.7693,0.6849,0.8442,0.1593
DeepSeek V3.2,Formal,231,13,0.9437229437229437,0.7690543401552576,0.7691,0.6076,0.8963,0.2887
DeepSeek V3.2,Human.,229,13,0.9432314410480349,0.6981837606837606,0.6982,0.5665,0.8153,0.2488
DeepSeek V3.2,Science,231,19,0.9177489177489178,0.6964995034756702,0.6965,0.5433,0.8236,0.2803
DeepSeek V3.2,Social,231,36,0.8441558441558441,0.6688034188034189,0.6688,0.5779,0.7541,0.1762
DeepSeek-R1,Applied,250,27,0.892,0.8431323700381996,0.8431,0.7739,0.9016,0.1277
DeepSeek-R1,Factual,250,20,0.92,0.682391304347826,0.6824,0.5347,0.8223,0.2875
DeepSeek-R1,Formal,250,13,0.948,0.7453748782862707,0.7454,0.5789,0.8673,0.2883
DeepSeek-R1,Human.,250,14,0.944,0.7846549636803875,0.7847,0.6259,0.9216,0.2957
DeepSeek-R1,Science,250,20,0.92,0.6941304347826087,0.6941,0.5415,0.8319,0.2904
DeepSeek-R1,Social,250,33,0.868,0.8140622818042172,0.8141,0.7249,0.8931,0.1682
GLM-5,Applied,84,4,0.9523809523809523,0.6015625,0.6016,0.2152,0.8915,0.6762
GLM-5,Factual,111,8,0.9279279279279279,0.5758495145631068,0.5758,0.355,0.7882,0.4332
GLM-5,Formal,102,3,0.9705882352941176,0.6094276094276094,0.6094,0.3861,1.0,0.6139
GLM-5,Human.,91,3,0.967032967032967,0.8181818181818182,0.8182,0.7045,0.9627,0.2581
GLM-5,Science,110,3,0.9727272727272728,0.5545171339563864,0.5545,0.3889,0.8519,0.463
GLM-5,Social,100,14,0.86,0.790282392026578,0.7903,0.6449,0.9086,0.2636
GPT-5.4,Applied,250,29,0.884,0.8176002496489311,0.8176,0.7382,0.885,0.1468
GPT-5.4,Factual,250,21,0.916,0.7775005198585985,0.7775,0.6768,0.8826,0.2058
GPT-5.4,Formal,250,41,0.836,0.5391527599486521,0.5392,0.4566,0.6239,0.1673
GPT-5.4,Human.,250,11,0.956,0.6403575503993914,0.6404,0.387,0.8786,0.4917
GPT-5.4,Science,250,28,0.888,0.6493725868725869,0.6494,0.5375,0.7619,0.2243
GPT-5.4,Social,250,27,0.892,0.7473841554559042,0.7474,0.6358,0.8448,0.209
GPT-5.4 mini,Applied,227,45,0.801762114537445,0.7424908424908425,0.7425,0.65,0.8248,0.1748
GPT-5.4 mini,Factual,216,26,0.8796296296296297,0.7968623481781376,0.7969,0.7148,0.8663,0.1516
GPT-5.4 mini,Formal,232,64,0.7241379310344828,0.5721726190476191,0.5722,0.4977,0.6543,0.1566
GPT-5.4 mini,Human.,230,14,0.9391304347826087,0.7228835978835979,0.7229,0.5972,0.8383,0.2412
GPT-5.4 mini,Science,223,41,0.8161434977578476,0.7249396944518895,0.7249,0.6355,0.8116,0.1761
GPT-5.4 mini,Social,228,55,0.7587719298245614,0.603783499737257,0.6038,0.515,0.6908,0.1758
GPT-5.4 nano,Applied,250,85,0.66,0.6332620320855614,0.6333,0.5598,0.7,0.1402
GPT-5.4 nano,Factual,250,58,0.768,0.7484734195402298,0.7485,0.6778,0.8161,0.1383
GPT-5.4 nano,Formal,250,132,0.472,0.5480225988700564,0.548,0.4754,0.6166,0.1412
GPT-5.4 nano,Human.,250,50,0.8,0.726,0.726,0.6498,0.7985,0.1487
GPT-5.4 nano,Science,250,95,0.62,0.6151782682512734,0.6152,0.5424,0.69,0.1476
GPT-5.4 nano,Social,250,100,0.6,0.48583333333333334,0.4858,0.4128,0.5556,0.1427
GPT-oss-120B,Applied,250,50,0.8,0.54865,0.5486,0.4808,0.6128,0.132
GPT-oss-120B,Factual,250,27,0.892,0.5210097990367047,0.521,0.4325,0.5945,0.162
GPT-oss-120B,Formal,250,13,0.948,0.6157091853294385,0.6157,0.4679,0.7357,0.2677
GPT-oss-120B,Human.,250,17,0.932,0.5266346882100479,0.5266,0.4179,0.6281,0.2102
