model,family,n,acc,aggregate,Applied,Factual,Human.,Social,Formal,Science,mean_dom,sd_dom
Opus 4.6,Anthropic,1500,0.9506666666666667,0.8061625791289185,0.847102490421456,0.8182978723404255,0.7040289256198347,0.8732492997198879,0.7427685950413223,0.7578708211619604,0.7905530007174811,0.06579390612157826
Opus 4.5,Anthropic,1500,0.9473333333333334,0.797846943229496,0.8207614942528735,0.795405982905983,0.678460743801653,0.8666767554479419,0.7866666666666666,0.7645245050308342,0.7854160246843254,0.06297596312248052
Sonnet 4.5,Anthropic,1500,0.946,0.7954871714561638,0.8487293956043955,0.709185329438494,0.7148736037624926,0.8007478632478632,0.752498530276308,0.7584033613445378,0.7640730139456818,0.053124572530323586
Opus 4.7,Anthropic,1499,0.9466310873915944,0.7924770965468639,0.8524720893141945,0.7256838905775076,0.6919459141681363,0.8245392577631911,0.779936974789916,0.8164701407379232,0.7818413778918115,0.06204746906767475
Sonnet 4.6,Anthropic,1500,0.9353333333333333,0.7766788398938945,0.8867391304347827,0.7799798030800302,0.759818240830899,0.6937385816309584,0.7877066115702479,0.781687675070028,0.781611673769491,0.06210995609576396
Sonnet 4,Anthropic,1500,0.936,0.7728105709876544,0.828030775629029,0.6829594017094017,0.7562479714378448,0.794343938448742,0.735131396957123,0.7856570512820513,0.7637284225773654,0.05089272822803743
Haiku 4.5,Anthropic,1500,0.9146666666666666,0.7709462691326532,0.84,0.7202094780219781,0.793267402054013,0.7274774774774776,0.8045947992931078,0.7057959401709402,0.7652241828362527,0.05460905393437987
Opus 4.1,Anthropic,1500,0.9426666666666667,0.7081880530245717,0.8375239463601531,0.6146823887409661,0.7107583774250441,0.7808695652173911,0.6913515406162465,0.6357758620689655,0.7118269467381277,0.0850973978503519
DeepSeek-R1,DeepSeek,1500,0.9153333333333333,0.7692420184549035,0.8431323700381996,0.682391304347826,0.7846549636803875,0.8140622818042172,0.7453748782862707,0.6941304347826087,0.760624372156585,0.0648306299529625
DeepSeek V3.2,DeepSeek,1371,0.9015317286652079,0.7338787007071796,0.7132798428033404,0.7693236714975845,0.6981837606837606,0.6688034188034189,0.7690543401552576,0.6964995034756702,0.7191907562365055,0.04130301606182344
