model,n,ans_primary,ans_fallback,ans_X,conf_primary,conf_fallback,conf_imputed,conf_genuine_50,imputed_rate
gpt-oss-120b,1500,1492,3,5,512,8,980,0,0.6533
qwen3-next-80b-a3b-instruct,1500,1499,0,1,1498,0,2,0,0.0013
gemma-3-27b-it,1500,1497,1,2,1497,2,1,0,0.0007
gemini-2.5-flash,1361,1333,28,0,1360,0,1,0,0.0007
gemini-3.1-flash-lite-preview,1368,1364,2,2,1365,2,1,0,0.0007
claude-haiku-4-5-20251001,1500,1498,0,2,1500,0,0,0,0.0
claude-sonnet-4-20250514,1500,1500,0,0,1500,0,0,0,0.0
claude-opus-4-1-20250805,1500,1500,0,0,1500,0,0,0,0.0
claude-opus-4-5-20251101,1500,1500,0,0,1500,0,0,0,0.0
deepseek-r1-0528,1500,1495,5,0,1500,0,0,1,0.0
claude-sonnet-4-6-default,1500,1500,0,0,1500,0,0,0,0.0
deepseek-v3.1,1380,1380,0,0,1380,0,0,0,0.0
deepseek-v3.2,1371,1371,0,0,1371,0,0,0,0.0
gemini-2.0-flash-lite-001,1500,1499,1,0,1499,1,0,0,0.0
claude-sonnet-4-5-20250929,1500,1500,0,0,1500,0,0,0,0.0
claude-opus-4-6-default,1500,1500,0,0,1500,0,0,0,0.0
claude-opus-4-7-default,1499,1499,0,0,1499,0,0,1,0.0
gemini-3-flash-preview,1500,1500,0,0,1500,0,0,0,0.0
gemini-2.5-pro,981,979,2,0,979,2,0,1,0.0
gemini-2.0-flash-001,1500,1500,0,0,1500,0,0,0,0.0
gemini-3.1-pro-preview,1346,1346,0,0,1346,0,0,2,0.0
gemma-3-4b-it,1445,1445,0,0,1445,0,0,0,0.0
gemma-4-31b-it,1500,1500,0,0,1500,0,0,0,0.0
gemma-3-12b-it,1447,1446,0,1,1447,0,0,0,0.0
gemma-3-1b-it,1499,1499,0,0,1499,0,0,0,0.0
gpt-5.4-2026-03-05,1500,1500,0,0,1500,0,0,0,0.0
glm-5,598,598,0,0,598,0,0,0,0.0
gpt-5.4-nano-2026-03-17,1500,1500,0,0,1500,0,0,0,0.0
gpt-5.4-mini-2026-03-17,1356,1356,0,0,1356,0,0,0,0.0
gpt-oss-20b,1500,1500,0,0,1500,0,0,4,0.0
qwen3-235b-a22b-instruct-2507,1500,1500,0,0,1500,0,0,0,0.0
qwen3-coder-480b-a35b-instruct,1500,1500,0,0,1500,0,0,0,0.0
qwen3-next-80b-a3b-thinking,1500,1500,0,0,1500,0,0,1,0.0
