item_id,recorded,final
20,80,85
57,80,85
63,80,85
74,95,100
111,70,80
121,90,95
133,80,85
140,70,85
146,95,100
164,80,85
173,80,85
182,70,80
184,90,95
203,90,95
205,90,95
226,90,95
242,80,85
252,90,95
262,95,100
268,90,95
269,90,95
296,80,85
347,90,95
415,80,85
428,80,85
438,90,95
452,75,80
459,80,85
466,40,30
477,70,80
494,60,65
502,80,85
508,90,95
516,90,95
518,70,75
532,90,95
556,60,75
563,80,90
598,90,95
618,70,80
622,90,95
712,70,75
726,90,85
730,80,85
736,95,98
744,90,95
749,90,95
758,90,95
772,80,85
785,100,95
836,90,95
841,90,95
864,90,95
890,80,85
891,90,95
898,70,90
1005,80,85
1007,90,95
1035,70,75
1054,70,75
1079,70,85
1095,80,85
1144,80,85
1148,90,95
1154,90,95
1178,90,95
1179,90,95
1191,70,75
1206,90,95
1226,90,95
1235,90,95
1239,90,95
1276,90,95
1286,80,85
1291,60,65
1297,80,85
1312,70,75
1348,95,100
1365,75,85
1420,75,80
1446,80,85
1487,60,65
